======== dream eval: base model + DiffuCoder-aligned prompts + EvalPlus ========
Started: 2026-03-30T00:20:19-04:00
Job ID: 5515953  Host: d1028
EVALPLUS_BACKEND=unsafe
MAX_NEW_TOKENS=512  STEPS=32  MAX_TASKS=0  N_SAMPLES=1  N_SAMPLES_PASS10=10  RUN_EVALPLUS=1
================================
HumanEval+  pass@1  (n=1, temp=0.2)
================================
Loading model 'Dream-org/Dream-v0-Instruct-7B'...
[eval-gen] 1/164 task_id=HumanEval/0 wall_s=2.9 completion_chars=5960
[eval-gen] 2/164 task_id=HumanEval/1 wall_s=2.4 completion_chars=6129
[eval-gen] 3/164 task_id=HumanEval/2 wall_s=2.1 completion_chars=6325
[eval-gen] 4/164 task_id=HumanEval/3 wall_s=2.4 completion_chars=4029
[eval-gen] 5/164 task_id=HumanEval/4 wall_s=2.4 completion_chars=6227
[eval-gen] 6/164 task_id=HumanEval/5 wall_s=2.1 completion_chars=5659
[eval-gen] 7/164 task_id=HumanEval/6 wall_s=2.4 completion_chars=5358
[eval-gen] 8/164 task_id=HumanEval/7 wall_s=2.1 completion_chars=6388
[eval-gen] 9/164 task_id=HumanEval/8 wall_s=2.4 completion_chars=6129
[eval-gen] 10/164 task_id=HumanEval/9 wall_s=2.4 completion_chars=6401
[eval-gen] 11/164 task_id=HumanEval/10 wall_s=2.4 completion_chars=5107
[eval-gen] 12/164 task_id=HumanEval/11 wall_s=2.1 completion_chars=6278
[eval-gen] 13/164 task_id=HumanEval/12 wall_s=2.4 completion_chars=6365
[eval-gen] 14/164 task_id=HumanEval/13 wall_s=2.1 completion_chars=5816
[eval-gen] 15/164 task_id=HumanEval/14 wall_s=2.1 completion_chars=5947
[eval-gen] 16/164 task_id=HumanEval/15 wall_s=2.1 completion_chars=5924
[eval-gen] 17/164 task_id=HumanEval/16 wall_s=2.1 completion_chars=5952
[eval-gen] 18/164 task_id=HumanEval/17 wall_s=2.4 completion_chars=6092
[eval-gen] 19/164 task_id=HumanEval/18 wall_s=2.1 completion_chars=5676
[eval-gen] 20/164 task_id=HumanEval/19 wall_s=2.4 completion_chars=6431
[eval-gen] 21/164 task_id=HumanEval/20 wall_s=2.4 completion_chars=6418
[eval-gen] 22/164 task_id=HumanEval/21 wall_s=2.4 completion_chars=6134
[eval-gen] 23/164 task_id=HumanEval/22 wall_s=2.1 completion_chars=6419
[eval-gen] 24/164 task_id=HumanEval/23 wall_s=2.1 completion_chars=6253
[eval-gen] 25/164 task_id=HumanEval/24 wall_s=2.1 completion_chars=5976
[eval-gen] 26/164 task_id=HumanEval/25 wall_s=2.4 completion_chars=5949
[eval-gen] 27/164 task_id=HumanEval/26 wall_s=2.1 completion_chars=6264
[eval-gen] 28/164 task_id=HumanEval/27 wall_s=2.1 completion_chars=6334
[eval-gen] 29/164 task_id=HumanEval/28 wall_s=2.1 completion_chars=6153
[eval-gen] 30/164 task_id=HumanEval/29 wall_s=2.1 completion_chars=6353
[eval-gen] 31/164 task_id=HumanEval/30 wall_s=2.4 completion_chars=6426
[eval-gen] 32/164 task_id=HumanEval/31 wall_s=2.4 completion_chars=6208
[eval-gen] 33/164 task_id=HumanEval/32 wall_s=2.6 completion_chars=5444
[eval-gen] 34/164 task_id=HumanEval/33 wall_s=2.4 completion_chars=6236
[eval-gen] 35/164 task_id=HumanEval/34 wall_s=2.1 completion_chars=6444
[eval-gen] 36/164 task_id=HumanEval/35 wall_s=2.1 completion_chars=6451
[eval-gen] 37/164 task_id=HumanEval/36 wall_s=2.1 completion_chars=6028
[eval-gen] 38/164 task_id=HumanEval/37 wall_s=2.4 completion_chars=6269
[eval-gen] 39/164 task_id=HumanEval/38 wall_s=2.4 completion_chars=6040
[eval-gen] 40/164 task_id=HumanEval/39 wall_s=2.4 completion_chars=1110
[eval-gen] 41/164 task_id=HumanEval/40 wall_s=2.4 completion_chars=6178
[eval-gen] 42/164 task_id=HumanEval/41 wall_s=2.4 completion_chars=6416
[eval-gen] 43/164 task_id=HumanEval/42 wall_s=2.4 completion_chars=6453
[eval-gen] 44/164 task_id=HumanEval/43 wall_s=2.4 completion_chars=6301
[eval-gen] 45/164 task_id=HumanEval/44 wall_s=2.4 completion_chars=5496
[eval-gen] 46/164 task_id=HumanEval/45 wall_s=2.1 completion_chars=6452
[eval-gen] 47/164 task_id=HumanEval/46 wall_s=2.4 completion_chars=546
[eval-gen] 48/164 task_id=HumanEval/47 wall_s=2.1 completion_chars=6034
[eval-gen] 49/164 task_id=HumanEval/48 wall_s=2.1 completion_chars=5956
[eval-gen] 50/164 task_id=HumanEval/49 wall_s=2.4 completion_chars=5350
[eval-gen] 51/164 task_id=HumanEval/50 wall_s=2.1 completion_chars=6080
[eval-gen] 52/164 task_id=HumanEval/51 wall_s=2.4 completion_chars=6345
[eval-gen] 53/164 task_id=HumanEval/52 wall_s=2.1 completion_chars=5514
[eval-gen] 54/164 task_id=HumanEval/53 wall_s=2.1 completion_chars=6074
[eval-gen] 55/164 task_id=HumanEval/54 wall_s=2.4 completion_chars=6265
[eval-gen] 56/164 task_id=HumanEval/55 wall_s=2.1 completion_chars=6141
[eval-gen] 57/164 task_id=HumanEval/56 wall_s=2.1 completion_chars=6133
[eval-gen] 58/164 task_id=HumanEval/57 wall_s=2.1 completion_chars=5576
[eval-gen] 59/164 task_id=HumanEval/58 wall_s=2.4 completion_chars=6016
[eval-gen] 60/164 task_id=HumanEval/59 wall_s=2.1 completion_chars=6004
[eval-gen] 61/164 task_id=HumanEval/60 wall_s=2.4 completion_chars=6390
[eval-gen] 62/164 task_id=HumanEval/61 wall_s=2.1 completion_chars=6213
